TOTAL LOAD & VER GENERATION IN THE BPA CONTROL AREA (Balancing Authority Area),,,,,,,,,,,,
Date/Time,Date/Time (UTC),TOTAL WIND BASE SCHEDULE (FORECAST) IN BPA CONTROL AREA (MW; SCADA 187517,TOTAL WIND BASEPOINT (FORECAST) IN BPA CONTROL AREA (MW; SCADA 103349,TOTAL WIND GENERATION  IN BPA CONTROL AREA (MW; SCADA 79687),TOTAL BPA CONTROL AREA LOAD (MW; SCADA 45583),TOTAL HYDRO GENERATION (MW; SCADA 79682),TOTAL FOSSIL/BIOMASS GENERATION (MW; SCADA 164377),TOTAL NUCLEAR GENERATION (MW; 70681),NET INTERCHANGE (MW; SCADA 45581),TOTAL SOLAR BASE SCHEDULE (FORECAST) IN BPA CONTROL AREA (MW; SCADA 187513),TOTAL SOLAR Basepoint (FORECAST) IN BPA CONTROL AREA (MW; SCADA 177165),TOTAL SOLAR GENERATION  IN BPA CONTROL AREA (MW; SCADA 142383)
01/01/24 01:35,01/01/24 09:35,25,63,59,6168,5688,850,1152,1581,0,0,0
01/01/24 01:40,01/01/24 09:40,25,66,50,6138,5682,849,1152,1597,0,0,0
01/01/24 01:45,01/01/24 09:45,25,60,50,6138,5688,848,1149,1597,0,0,0
01/01/24 01:50,01/01/24 09:50,26,53,54,6149,5680,848,1149,1579,0,0,0
01/01/24 01:55,01/01/24 09:55,28,49,60,6133,5661,848,1149,1587,0,0,0
01/01/24 02:00,01/01/24 10:00,30,54,62,6121,5664,848,1152,1605,0,0,0
01/01/24 02:05,01/01/24 10:05,33,59,66,6125,5749,850,1155,1695,0,0,0
01/01/24 02:10,01/01/24 10:10,36,60,67,6128,5730,851,1155,1671,0,0,0
01/01/24 02:15,01/01/24 10:15,36,65,62,6122,5743,851,1154,1687,0,0,0
01/01/24 02:20,01/01/24 10:20,36,66,64,6124,5731,850,1155,1676,0,0,0
01/01/24 02:25,01/01/24 10:25,36,64,64,6093,5728,853,1149,1702,0,0,0
01/01/24 02:30,01/01/24 10:30,36,62,52,6101,5688,850,1149,1638,0,0,0
01/01/24 02:35,01/01/24 10:35,36,63,47,6087,5696,851,1149,1657,0,0,0
01/01/24 02:40,01/01/24 10:40,36,55,46,6084,5687,852,1149,1651,0,0,0
01/01/24 02:45,01/01/24 10:45,37,49,48,6098,5693,851,1155,1648,0,0,0
01/01/24 02:50,01/01/24 10:50,37,47,44,6078,5682,851,1149,1649,0,0,0
01/01/24 02:55,01/01/24 10:55,37,46,44,6075,5683,850,1149,1651,0,0,0
01/01/24 03:00,01/01/24 11:00,37,47,42,6087,5706,851,1152,1665,0,0,0
01/01/24 03:05,01/01/24 11:05,37,45,41,6105,5710,849,1152,1647,0,0,0
01/01/24 03:10,01/01/24 11:10,38,43,40,6127,5739,847,1149,1648,0,0,0
01/01/24 03:15,01/01/24 11:15,38,41,40,6128,5811,848,1152,1724,0,0,0
01/01/24 03:20,01/01/24 11:20,38,40,36,6122,5846,849,1149,1761,0,0,0
01/01/24 03:25,01/01/24 11:25,38,41,37,6121,5849,849,1149,1759,0,0,0
01/01/24 03:30,01/01/24 11:30,38,38,40,6128,5854,856,1149,1771,0,0,0
01/01/24 03:35,01/01/24 11:35,38,36,39,6158,5857,849,1153,1741,0,0,0
01/01/24 03:40,01/01/24 11:40,38,37,35,6165,5854,851,1149,1724,0,0,0
01/01/24 03:45,01/01/24 11:45,39,38,29,6158,5841,849,1155,1715,0,0,0
01/01/24 03:50,01/01/24 11:50,39,38,25,6164,5845,849,1152,1709,0,0,0
01/01/24 03:55,01/01/24 11:55,39,31,25,6187,5881,849,1152,1720,0,0,0
01/01/24 04:00,01/01/24 12:00,40,27,24,6212,6010,849,1150,1822,0,0,0
01/01/24 04:05,01/01/24 12:05,41,25,23,6230,6071,851,1152,1874,0,0,0
01/01/24 04:10,01/01/24 12:10,42,25,21,6231,6072,851,1152,1864,0,0,0
01/01/24 04:15,01/01/24 12:15,42,24,18,6241,6083,848,1149,1859,0,0,0
01/01/24 04:20,01/01/24 12:20,42,23,18,6273,6132,850,1155,1881,0,0,0
01/01/24 04:25,01/01/24 12:25,42,20,17,6268,6068,848,1149,1814,0,0,0
01/01/24 04:30,01/01/24 12:30,42,18,16,6311,6080,848,1152,1786,0,0,0
01/01/24 04:35,01/01/24 12:35,42,18,17,6312,6103,848,1155,1810,0,0,0
01/01/24 04:40,01/01/24 12:40,42,17,17,6325,6118,849,1152,1808,0,0,0
01/01/24 04:45,01/01/24 12:45,43,17,16,6325,6117,848,1149,1806,0,0,0
01/01/24 04:50,01/01/24 12:50,43,19,16,6325,6113,849,1149,1803,0,0,0
01/01/24 04:55,01/01/24 12:55,44,17,17,6369,6183,847,1155,1834,0,0,0
01/01/24 05:00,01/01/24 13:00,46,15,24,6380,6256,849,1149,1896,0,0,0
01/01/24 05:05,01/01/24 13:05,48,17,30,6413,6216,848,1155,1837,0,0,0
01/01/24 05:10,01/01/24 13:10,50,21,37,6450,6197,845,1149,1778,0,0,0
01/01/24 05:15,01/01/24 13:15,50,29,41,6464,6217,844,1149,1788,0,0,0
01/01/24 05:20,01/01/24 13:20,50,34,42,6480,6247,844,1154,1807,0,0,0
01/01/24 05:25,01/01/24 13:25,50,39,38,6503,6247,844,1150,1777,0,0,0
01/01/24 05:30,01/01/24 13:30,50,42,35,6532,6292,844,1152,1792,0,0,0
01/01/24 05:35,01/01/24 13:35,50,39,34,6543,6356,846,1149,1842,0,0,0
01/01/24 05:40,01/01/24 13:40,50,36,31,6595,6351,845,1153,1786,0,0,0
01/01/24 05:45,01/01/24 13:45,51,34,29,6596,6364,844,1152,1793,0,0,0
01/01/24 05:50,01/01/24 13:50,51,34,29,6597,6372,843,1155,1811,0,0,0
01/01/24 05:55,01/01/24 13:55,51,29,31,6632,6503,846,1149,1898,0,0,0
01/01/24 06:00,01/01/24 14:00,52,27,26,6664,6456,846,1149,1809,0,0,0
01/01/24 06:05,01/01/24 14:05,54,28,20,6712,6537,848,1149,1841,0,0,0
01/01/24 06:10,01/01/24 14:10,55,30,18,6760,6406,847,1149,1661,0,0,0
01/01/24 06:15,01/01/24 14:15,55,23,14,6741,6473,846,1149,1741,1,0,0
01/01/24 06:20,01/01/24 14:20,55,20,14,6780,6510,845,1152,1742,1,0,0
01/01/24 06:25,01/01/24 14:25,55,16,14,6804,6485,847,1152,1695,1,0,0
01/01/24 06:30,01/01/24 14:30,55,16,15,6825,6547,847,1155,1738,1,0,0
01/01/24 06:35,01/01/24 14:35,55,16,17,6848,6582,845,1149,1746,1,0,0
01/01/24 06:40,01/01/24 14:40,55,15,17,6876,6576,845,1155,1721,1,0,0
01/01/24 06:45,01/01/24 14:45,56,16,17,6880,6584,848,1154,1722,1,0,0
01/01/24 06:50,01/01/24 14:50,56,18,17,6883,6580,848,1153,1717,1,0,0
01/01/24 06:55,01/01/24 14:55,58,17,19,6900,6611,850,1154,1733,1,0,0
01/01/24 07:00,01/01/24 15:00,61,17,19,6927,6740,848,1148,1827,2,0,0
01/01/24 07:05,01/01/24 15:05,64,18,15,6964,6979,849,1155,2034,3,0,0
01/01/24 07:10,01/01/24 15:10,67,18,13,7014,6959,850,1154,1962,4,0,0
01/01/24 07:15,01/01/24 15:15,67,17,10,7039,6893,847,1149,1862,4,0,0
01/01/24 07:20,01/01/24 15:20,67,14,8,7050,6919,848,1150,1874,4,0,0
01/01/24 07:25,01/01/24 15:25,67,12,5,7052,6931,847,1150,1882,4,0,0
01/01/24 07:30,01/01/24 15:30,67,9,5,7091,6907,847,1155,1824,4,0,0
01/01/24 07:35,01/01/24 15:35,67,7,5,7111,6852,842,1152,1742,4,0,0
01/01/24 07:40,01/01/24 15:40,67,4,6,7163,6856,841,1149,1690,4,0,0
01/01/24 07:45,01/01/24 15:45,66,5,5,7150,6858,844,1154,1711,5,0,0
01/01/24 07:50,01/01/24 15:50,66,6,5,7160,6880,844,1149,1717,5,0,0
01/01/24 07:55,01/01/24 15:55,57,6,3,7207,6819,844,1152,1614,6,0,1
01/01/24 08:00,01/01/24 16:00,48,6,3,7199,6880,847,1152,1685,7,0,2
01/01/24 08:05,01/01/24 16:05,38,5,2,7226,6841,846,1149,1615,9,1,2
01/01/24 08:10,01/01/24 16:10,28,3,1,7248,6804,847,1149,1559,11,1,4
01/01/24 08:15,01/01/24 16:15,28,3,2,7296,6758,845,1155,1470,11,2,5
01/01/24 08:20,01/01/24 16:20,28,2,2,7317,6770,846,1155,1463,11,3,6
01/01/24 08:25,01/01/24 16:25,28,2,3,7331,6786,847,1150,1461,11,8,6
01/01/24 08:30,01/01/24 16:30,28,2,3,7345,6687,847,1152,1351,11,10,7
01/01/24 08:35,01/01/24 16:35,28,2,2,7352,6688,847,1149,1344,11,10,8
01/01/24 08:40,01/01/24 16:40,28,2,2,7385,6631,845,1152,1255,11,10,10
01/01/24 08:45,01/01/24 16:45,28,3,2,7396,6640,845,1152,1257,12,11,11
01/01/24 08:50,01/01/24 16:50,27,2,2,7424,6700,846,1155,1296,12,11,14
01/01/24 08:55,01/01/24 16:55,22,1,2,7425,6638,844,1150,1228,13,15,16
01/01/24 09:00,01/01/24 17:00,16,2,2,7430,6772,844,1149,1356,14,15,17
01/01/24 09:05,01/01/24 17:05,9,2,2,7451,6973,843,1154,1538,16,17,15
01/01/24 09:10,01/01/24 17:10,3,2,2,7497,6880,844,1149,1395,18,17,15
01/01/24 09:15,01/01/24 17:15,3,2,2,7512,6915,844,1155,1422,18,18,16
01/01/24 09:20,01/01/24 17:20,3,2,2,7503,6964,845,1153,1482,18,17,20
01/01/24 09:25,01/01/24 17:25,3,2,2,7541,6956,843,1152,1433,18,19,20
01/01/24 09:30,01/01/24 17:30,3,2,2,7531,6989,845,1150,1477,18,21,20
01/01/24 09:35,01/01/24 17:35,3,2,4,7540,6968,846,1155,1454,18,22,19
01/01/24 09:40,01/01/24 17:40,3,2,5,7528,6984,844,1155,1479,18,22,18
01/01/24 09:45,01/01/24 17:45,4,4,3,7548,6950,844,1152,1417,18,22,16
01/01/24 09:50,01/01/24 17:50,4,5,1,7544,6962,844,1152,1432,19,22,16
01/01/24 09:55,01/01/24 17:55,5,6,1,7528,6792,845,1155,1283,21,21,18
01/01/24 10:00,01/01/24 18:00,7,3,1,7537,6857,844,1149,1335,23,21,18
01/01/24 10:05,01/01/24 18:05,10,2,1,7534,6961,844,1152,1441,26,21,16
01/01/24 10:10,01/01/24 18:10,12,1,1,7563,6951,845,1152,1396,29,22,16
01/01/24 10:15,01/01/24 18:15,12,0,1,7517,6918,844,1152,1414,29,21,16
01/01/24 10:20,01/01/24 18:20,12,1,1,7534,6903,847,1152,1388,29,21,17
01/01/24 10:25,01/01/24 18:25,12,1,2,7530,6887,847,1149,1373,29,21,17
01/01/24 10:30,01/01/24 18:30,12,1,3,7526,6932,850,1154,1433,29,22,17
01/01/24 10:35,01/01/24 18:35,12,1,3,7510,6986,849,1152,1500,29,23,19
01/01/24 10:40,01/01/24 18:40,12,3,3,7485,6872,847,1150,1406,29,23,19
01/01/24 10:45,01/01/24 18:45,11,4,3,7495,6891,848,1149,1416,30,24,18
01/01/24 10:50,01/01/24 18:50,11,2,4,7510,6925,848,1149,1433,30,24,19
01/01/24 10:55,01/01/24 18:55,11,3,2,7482,6901,845,1154,1439,31,23,19
01/01/24 11:00,01/01/24 19:00,11,4,1,7451,6799,843,1152,1363,33,24,19
01/01/24 11:05,01/01/24 19:05,10,4,0,7458,6808,843,1149,1364,35,24,20
01/01/24 11:10,01/01/24 19:10,9,2,0,7446,6746,844,1155,1320,37,24,20
01/01/24 11:15,01/01/24 19:15,9,1,1,7444,6776,846,1153,1355,37,25,21
01/01/24 11:20,01/01/24 19:20,9,1,1,7432,6785,847,1153,1376,37,24,21
01/01/24 11:25,01/01/24 19:25,9,1,1,7431,6802,848,1149,1391,37,25,21
01/01/24 11:30,01/01/24 19:30,9,1,1,7411,6775,843,1154,1386,37,26,22
01/01/24 11:35,01/01/24 19:35,9,1,1,7389,6738,845,1149,1369,37,25,23
01/01/24 11:40,01/01/24 19:40,9,2,1,7387,6731,844,1148,1362,37,27,23
01/01/24 11:45,01/01/24 19:45,8,2,1,7380,6758,844,1149,1397,36,30,23
01/01/24 11:50,01/01/24 19:50,8,4,1,7386,6803,845,1153,1438,36,30,21
01/01/24 11:55,01/01/24 19:55,8,3,1,7385,6791,844,1149,1423,36,27,21
01/01/24 12:00,01/01/24 20:00,8,2,1,7370,6620,842,1148,1261,36,28,21
01/01/24 12:05,01/01/24 20:05,8,2,1,7337,6611,842,1147,1289,36,27,21
01/01/24 12:10,01/01/24 20:10,8,2,1,7341,6563,845,1148,1238,35,26,21
01/01/24 12:15,01/01/24 20:15,8,2,1,7320,6510,844,1147,1203,35,24,21
01/01/24 12:20,01/01/24 20:20,8,1,1,7298,6534,844,1146,1250,35,26,23
01/01/24 12:25,01/01/24 20:25,8,2,1,7304,6552,843,1153,1271,35,26,24
01/01/24 12:30,01/01/24 20:30,8,1,1,7290,6546,845,1149,1275,35,27,24
01/01/24 12:35,01/01/24 20:35,8,2,1,7276,6604,843,1149,1346,35,28,24
01/01/24 12:40,01/01/24 20:40,8,1,1,7251,6625,843,1149,1392,35,29,25
01/01/24 12:45,01/01/24 20:45,9,1,1,7244,6485,843,1148,1259,34,28,24
01/01/24 12:50,01/01/24 20:50,9,1,1,7252,6477,842,1148,1230,34,28,24
01/01/24 12:55,01/01/24 20:55,10,1,1,7218,6472,844,1154,1278,34,28,24
01/01/24 13:00,01/01/24 21:00,12,1,1,7233,6419,844,1149,1204,34,28,24
01/01/24 13:05,01/01/24 21:05,15,1,1,7198,6426,844,1153,1251,34,29,24
01/01/24 13:10,01/01/24 21:10,17,1,2,7202,6332,841,1149,1146,34,29,23
01/01/24 13:15,01/01/24 21:15,17,0,2,7197,6342,842,1147,1160,34,30,23
01/01/24 13:20,01/01/24 21:20,17,1,1,7174,6295,841,1149,1137,34,26,22
01/01/24 13:25,01/01/24 21:25,17,2,1,7172,6309,843,1147,1149,34,26,21
01/01/24 13:30,01/01/24 21:30,17,2,1,7164,6347,843,1150,1199,34,26,21
01/01/24 13:35,01/01/24 21:35,17,1,1,7154,6333,842,1149,1195,34,26,22
01/01/24 13:40,01/01/24 21:40,17,0,1,7143,6379,841,1153,1255,34,24,22
01/01/24 13:45,01/01/24 21:45,17,0,1,7129,6373,842,1149,1260,33,24,22
01/01/24 13:50,01/01/24 21:50,18,0,2,7112,6328,843,1149,1230,33,25,20
01/01/24 13:55,01/01/24 21:55,23,1,2,7117,6323,842,1153,1223,33,26,19
01/01/24 14:00,01/01/24 22:00,28,1,3,7124,6293,843,1149,1180,33,25,20
01/01/24 14:05,01/01/24 22:05,34,1,3,7103,6319,843,1148,1231,33,23,20
01/01/24 14:10,01/01/24 22:10,40,2,4,7108,6294,842,1149,1201,32,23,21
01/01/24 14:15,01/01/24 22:15,40,3,4,7102,6287,842,1150,1199,32,23,18
01/01/24 14:20,01/01/24 22:20,40,2,6,7097,6223,842,1149,1142,32,22,18
01/01/24 14:25,01/01/24 22:25,40,3,8,7100,6239,842,1155,1162,32,22,18
01/01/24 14:30,01/01/24 22:30,40,4,8,7093,6242,842,1152,1169,32,22,17
01/01/24 14:35,01/01/24 22:35,40,7,7,7096,6233,841,1149,1151,32,19,14
01/01/24 14:40,01/01/24 22:40,40,9,7,7117,6212,844,1152,1110,32,19,12
01/01/24 14:45,01/01/24 22:45,41,7,6,7117,6241,844,1152,1137,32,18,11
01/01/24 14:50,01/01/24 22:50,41,7,6,7114,6243,843,1152,1141,31,14,10
01/01/24 14:55,01/01/24 22:55,41,7,6,7121,6310,842,1149,1197,29,13,10
01/01/24 15:00,01/01/24 23:00,41,7,6,7128,6320,843,1147,1198,26,11,10
01/01/24 15:05,01/01/24 23:05,42,7,8,7108,6437,841,1153,1343,23,11,10
01/01/24 15:10,01/01/24 23:10,43,7,12,7091,6469,844,1149,1392,20,10,9
01/01/24 15:15,01/01/24 23:15,43,7,15,7106,6450,841,1149,1358,20,10,7
01/01/24 15:20,01/01/24 23:20,43,10,14,7123,6499,841,1149,1387,20,10,7
01/01/24 15:25,01/01/24 23:25,43,14,11,7156,6496,841,1148,1349,20,10,6
01/01/24 15:30,01/01/24 23:30,43,14,6,7146,6535,843,1153,1396,20,9,5
01/01/24 15:35,01/01/24 23:35,43,11,6,7180,6533,842,1148,1353,20,8,4
01/01/24 15:40,01/01/24 23:40,43,7,3,7209,6560,841,1154,1353,20,5,3
01/01/24 15:45,01/01/24 23:45,42,6,4,7218,6633,841,1149,1413,21,3,3
01/01/24 15:50,01/01/24 23:50,42,5,4,7248,6682,843,1153,1438,21,3,2
01/01/24 15:55,01/01/24 23:55,41,4,3,7245,6998,841,1149,1748,23,1,2
01/01/24 16:00,01/02/24 00:00,38,5,5,7262,7311,842,1148,2047,25,0,1
01/01/24 16:05,01/02/24 00:05,36,4,7,7311,7250,843,1149,1966,28,0,27
01/01/24 16:10,01/02/24 00:10,33,5,8,7318,7301,843,1149,2011,31,0,27
01/01/24 16:15,01/02/24 00:15,33,8,10,7374,7304,843,1147,1949,31,0,26
01/01/24 16:20,01/02/24 00:20,33,7,9,7394,7465,845,1153,2097,31,0,26
01/01/24 16:25,01/02/24 00:25,33,9,7,7443,7396,844,1148,1979,31,0,26
01/01/24 16:30,01/02/24 00:30,33,10,6,7473,7472,845,1152,2026,31,0,25
01/01/24 16:35,01/02/24 00:35,33,8,6,7505,7640,843,1149,2144,31,0,10
01/01/24 16:40,01/02/24 00:40,33,8,6,7544,7629,845,1149,2092,31,0,6
01/01/24 16:45,01/02/24 00:45,32,7,8,7581,7587,843,1152,2029,30,0,18
01/01/24 16:50,01/02/24 00:50,32,6,8,7605,7620,844,1148,2035,30,0,18
01/01/24 16:55,01/02/24 00:55,32,7,11,7638,7689,843,1149,2073,24,0,16
01/01/24 17:00,01/02/24 01:00,32,9,9,7630,7860,844,1149,2238,18,0,15
01/01/24 17:05,01/02/24 01:05,32,11,7,7648,7942,843,1154,2298,11,0,0
01/01/24 17:10,01/02/24 01:10,31,10,5,7656,8042,843,1149,2384,4,0,0
01/01/24 17:15,01/02/24 01:15,31,8,5,7650,8127,845,1149,2477,4,0,0
01/01/24 17:20,01/02/24 01:20,31,6,7,7718,8112,844,1153,2398,4,0,0
01/01/24 17:25,01/02/24 01:25,31,5,5,7692,8101,844,1149,2408,4,0,0
01/01/24 17:30,01/02/24 01:30,31,7,5,7720,8085,844,1149,2365,4,0,0
01/01/24 17:35,01/02/24 01:35,31,7,5,7715,8102,845,1147,2384,4,0,0
01/01/24 17:40,01/02/24 01:40,31,6,4,7719,8067,846,1147,2346,4,0,0
01/01/24 17:45,01/02/24 01:45,30,6,3,7678,8065,845,1147,2382,4,0,0
01/01/24 17:50,01/02/24 01:50,30,5,5,7690,8142,844,1152,2455,4,0,0
01/01/24 17:55,01/02/24 01:55,28,3,5,7692,8187,844,1149,2494,4,0,0
01/01/24 18:00,01/02/24 02:00,24,4,5,7679,8256,845,1149,2578,4,0,0
01/01/24 18:05,01/02/24 02:05,21,6,4,7678,8245,845,1152,2566,4,0,0
01/01/24 18:10,01/02/24 02:10,17,5,4,7689,8213,843,1148,2518,4,0,0
01/01/24 18:15,01/02/24 02:15,17,5,4,7638,8178,844,1148,2537,4,0,0
01/01/24 18:20,01/02/24 02:20,17,3,3,7675,8201,845,1146,2519,4,0,0
01/01/24 18:25,01/02/24 02:25,17,3,3,7652,8184,845,1153,2535,4,0,0
01/01/24 18:30,01/02/24 02:30,17,3,3,7638,8170,844,1148,2525,4,0,0
01/01/24 18:35,01/02/24 02:35,17,5,3,7633,8073,842,1148,2434,3,0,0
01/01/24 18:40,01/02/24 02:40,17,5,2,7607,8075,842,1154,2467,3,0,0
01/01/24 18:45,01/02/24 02:45,16,3,1,7582,8092,845,1152,2509,3,0,0
01/01/24 18:50,01/02/24 02:50,16,2,1,7577,8094,845,1149,2514,3,0,0
01/01/24 18:55,01/02/24 02:55,15,2,1,7574,8029,845,1153,2454,3,0,0
01/01/24 19:00,01/02/24 03:00,12,2,1,7573,7895,847,1148,2318,2,0,0
01/01/24 19:05,01/02/24 03:05,10,2,1,7567,7854,846,1152,2285,1,0,0
01/01/24 19:10,01/02/24 03:10,7,1,1,7539,7872,845,1154,2335,0,0,0
01/01/24 19:15,01/02/24 03:15,7,2,2,7577,7863,845,1149,2280,0,0,0
01/01/24 19:20,01/02/24 03:20,7,1,2,7523,7856,845,1149,2329,0,0,0
01/01/24 19:25,01/02/24 03:25,7,2,3,7547,7826,843,1147,2273,0,0,0
01/01/24 19:30,01/02/24 03:30,7,2,3,7523,7803,843,1148,2274,0,0,0
01/01/24 19:35,01/02/24 03:35,7,2,3,7470,7813,842,1149,2336,0,0,0
01/01/24 19:40,01/02/24 03:40,7,2,3,7476,7791,844,1146,2309,0,0,0
01/01/24 19:45,01/02/24 03:45,8,2,3,7495,7838,843,1149,2339,0,0,0
01/01/24 19:50,01/02/24 03:50,8,3,4,7477,7848,844,1149,2367,0,0,0
01/01/24 19:55,01/02/24 03:55,8,3,5,7481,7854,845,1152,2375,0,0,0
01/01/24 20:00,01/02/24 04:00,8,4,5,7490,7824,848,1148,2335,0,0,0
01/01/24 20:05,01/02/24 04:05,8,5,5,7442,7864,850,1148,2425,0,0,0
01/01/24 20:10,01/02/24 04:10,9,5,4,7417,7845,845,1149,2428,0,0,0
01/01/24 20:15,01/02/24 04:15,9,6,5,7388,7835,846,1153,2452,0,0,0
01/01/24 20:20,01/02/24 04:20,9,4,5,7358,7748,845,1149,2390,0,0,0
01/01/24 20:25,01/02/24 04:25,9,5,3,7336,7693,846,1153,2360,0,0,0
01/01/24 20:30,01/02/24 04:30,9,5,3,7329,7668,847,1152,2341,0,0,0
01/01/24 20:35,01/02/24 04:35,9,6,3,7284,7658,846,1149,2371,0,0,0
01/01/24 20:40,01/02/24 04:40,9,3,3,7283,7667,845,1149,2384,0,0,0
01/01/24 20:45,01/02/24 04:45,10,3,3,7226,7628,844,1152,2401,0,0,0
01/01/24 20:50,01/02/24 04:50,10,4,3,7242,7578,845,1155,2339,0,0,0
01/01/24 20:55,01/02/24 04:55,10,4,3,7212,7579,843,1149,2362,0,0,0
01/01/24 21:00,01/02/24 05:00,11,3,3,7178,7468,845,1149,2288,0,0,0
01/01/24 21:05,01/02/24 05:05,13,3,3,7164,7411,844,1155,2249,0,0,0
01/01/24 21:10,01/02/24 05:10,14,3,3,7114,7279,844,1149,2154,0,0,0
01/01/24 21:15,01/02/24 05:15,14,4,3,7116,7281,845,1149,2162,0,0,0
01/01/24 21:20,01/02/24 05:20,14,4,3,7091,7294,846,1152,2205,0,0,0
01/01/24 21:25,01/02/24 05:25,14,4,3,7043,7270,844,1152,2227,0,0,0
01/01/24 21:30,01/02/24 05:30,14,3,3,7015,7176,843,1155,2162,0,0,0
01/01/24 21:35,01/02/24 05:35,14,4,5,6989,7120,841,1155,2133,0,0,0
01/01/24 21:40,01/02/24 05:40,14,3,6,6972,7058,841,1155,2089,0,0,0
01/01/24 21:45,01/02/24 05:45,14,4,7,6923,7044,840,1155,2124,0,0,0
01/01/24 21:50,01/02/24 05:50,15,5,10,6914,7072,842,1149,2158,0,0,0
01/01/24 21:55,01/02/24 05:55,18,7,10,6906,6998,842,1149,2082,0,0,0
01/01/24 22:00,01/02/24 06:00,22,10,12,6887,6996,845,1149,2116,0,0,0
01/01/24 22:05,01/02/24 06:05,26,10,10,6854,6946,841,1152,2095,0,0,0
01/01/24 22:10,01/02/24 06:10,30,12,10,6836,6867,841,1155,2038,0,0,0
01/01/24 22:15,01/02/24 06:15,30,12,10,6798,6889,841,1149,2092,0,0,0
01/01/24 22:20,01/02/24 06:20,30,11,12,6756,6880,842,1153,2131,0,0,0
01/01/24 22:25,01/02/24 06:25,30,11,11,6755,6868,842,1155,2121,0,0,0
01/01/24 22:30,01/02/24 06:30,30,12,11,6711,6847,842,1154,2143,0,0,0
01/01/24 22:35,01/02/24 06:35,30,13,9,6680,6740,843,1149,2062,0,0,0
01/01/24 22:40,01/02/24 06:40,30,12,6,6622,6629,844,1153,2012,0,0,0
01/01/24 22:45,01/02/24 06:45,31,11,6,6604,6661,844,1153,2061,0,0,0
01/01/24 22:50,01/02/24 06:50,31,8,5,6592,6670,845,1152,2081,0,0,0
01/01/24 22:55,01/02/24 06:55,34,6,5,6570,6610,843,1154,2042,0,0,0
01/01/24 23:00,01/02/24 07:00,38,6,5,6497,6457,845,1149,1959,0,0,0
01/01/24 23:05,01/02/24 07:05,43,5,9,6493,6312,847,1155,1830,0,0,0
01/01/24 23:10,01/02/24 07:10,47,5,8,6467,6280,850,1155,1827,0,0,0
01/01/24 23:15,01/02/24 07:15,47,7,5,6449,6189,851,1155,1752,0,0,0
01/01/24 23:20,01/02/24 07:20,47,8,5,6446,6156,849,1149,1713,0,0,0
01/01/24 23:25,01/02/24 07:25,47,7,5,6414,6096,847,1152,1686,0,0,0
01/01/24 23:30,01/02/24 07:30,47,6,4,6369,6000,847,1149,1632,0,0,0
