name,vendor,country,year,cost_usd_per_kwh,cost_type,chemistry,duration_hr,market,scale,notes,source_url
"Tesla Megapack (list, Apr 2023)",Tesla,USA,2023,482,turnkey_system,LFP,2,US,utility,"1.9 MW / 3.9 MWh unit at $1,879,840 = $482/kWh (Apr 2023 per pv-magazine). Hardware only, no install.",https://pv-magazine-usa.com/2024/07/03/tesla-battery-deployment-up-157-megapack-pricing-down-44/
BNEF Li-ion pack global avg,BloombergNEF (market benchmark),Global,2024,115,pack,Li-ion_mixed,,Global,cell_market,"Largest drop since 2017 (-20% YoY). Driven by LFP shift, manufacturing overcapacity.",https://about.bnef.com/insights/commodities/lithium-ion-battery-pack-prices-see-largest-drop-since-2017-falling-to-115-per-kilowatt-hour-bloombergnef/
BNEF global avg turnkey BESS,BloombergNEF (market benchmark),Global,2024,165,turnkey_system,LFP,4,Global,utility,BNEF Energy Storage Systems Cost Survey 2024. Global average incl. US and Europe which inflate the mean.,https://www.energy-storage.news/battery-storage-system-prices-continue-to-fall-sharply-bnef-and-ember-reports-find/
BYD LFP cell (utility/grid),BYD,China,2024,44,cell,LFP,,China,utility,BYD achieved ~$44/kWh LFP cell price through cell-to-pack (CTP) architecture eliminating module layer. Among lowest cell prices globally in 2024.,https://bslbatt.com/blogs/current-average-energy-storage-cost-2025/
CATL LFP cell (utility/grid),CATL,China,2024,56,cell,LFP,,China,utility,CATL announced LFP cells shipping at <$56/kWh for grid storage applications in early 2024. VDA-format cells. Vertically integrated supply chain from Li mining through cathode production.,https://cleantechnica.com/2024/02/26/catl-byd-to-slash-battery-prices-by-50-in-2024-boom-evs-win/
NREL US utility BESS benchmark (4-hr),NREL (US benchmark),USA,2024,334,all_in_installed,LFP,4,US,utility,"NREL 2025 Cost Projections for Utility-Scale Battery Storage benchmark for 60 MW 4-hr system. Bottom-up model incl. pack, inverter, BOS, install. US-specific: higher than global avg due to labor and permitting.",https://research-hub.nrel.gov/en/publications/cost-projections-for-utility-scale-battery-storage-2025-update/
"Tesla Megapack (list, Jul 2024)",Tesla,USA,2024,266,turnkey_system,LFP,2,US,utility,"1.9 MW / 3.9 MWh at $1,039,290 = $266/kWh (Jul 2024 per pv-magazine). -44% from Apr 2023. Hardware only, no installation. Shanghai factory now online.",https://pv-magazine-usa.com/2024/07/03/tesla-battery-deployment-up-157-megapack-pricing-down-44/
BNEF Li-ion pack global avg,BloombergNEF (market benchmark),Global,2025,108,pack,Li-ion_mixed,,Global,cell_market,Record low. -8% YoY despite battery metal price increases. LFP packs: $70/kWh; NMC: $128/kWh. China avg $84/kWh vs N. America $155/kWh.,https://about.bnef.com/insights/clean-transport/lithium-ion-battery-pack-prices-fall-to-108-per-kilowatt-hour-despite-rising-metal-prices-bloombergnef/
BNEF global avg turnkey BESS 4-hr,BloombergNEF (market benchmark),Global,2025,110,turnkey_system,LFP,4,Global,utility,"BNEF ESSC Survey 2025: global avg $117/kWh; 4-hr systems $110/kWh, 2-hr $124/kWh. -31% YoY.",https://www.energy-storage.news/battery-storage-system-prices-continue-to-fall-sharply-bnef-and-ember-reports-find/
BNEF stationary storage pack (LFP),BloombergNEF (market benchmark),Global,2025,70,pack,LFP,,Global,utility,"Lowest of any battery segment in 2025. -45% from 2024 ($125/kWh). Pure pack, no inverter or BOS.",https://bslbatt.com/blogs/current-average-energy-storage-cost-2025/
China Power Construction tender,China market (76 bidders),China,2025,66,turnkey_system,LFP,,China,utility,"16 GWh BESS tender by China Power Construction Corp. 76 bidders; avg $66.3/kWh, 60 bids under $68.4/kWh. Includes supply, system design, install guidance, 20-yr maintenance. Systems to be built 2025-2026.",https://medium.com/the-future-is-electric/grid-storage-at-66-kwh-the-world-just-changed-c2f39f42f09f
"Ember utility BESS all-in capex (ex-CN, ex-US)",Ember Energy (research benchmark),Ex-China-US,2025,125,all_in_installed,LFP,4,Ex-China-US,utility,Oct 2025 Ember analysis. All-in project capex for large long-duration (4h+) utility BESS outside US and China: ~$75/kWh equipment (Chinese supply) + ~$50/kWh install/engineering/grid. LCOS: $65/MWh at this capex.,https://ember-energy.org/latest-insights/how-cheap-is-battery-storage/
"Tesla Megapack (installed, Q2 2025)",Tesla,USA,2025,290,all_in_installed,LFP,2,US,utility,Average installed cost per kWh Q2 2025 per TESMAG estimate. Includes installation. Down from $350/kWh in Q2 2024 (-17%). Tesla energy gross margin ~22%.,https://www.teslaacessories.com/blogs/news/energy-storage-deployments-reach-9.6-gwh-in-q2-2025
